"STORE","Yr","mon","dayCount","revenue","avg_daily_revenue"
304,2004,12,30,1502190.29,50073.01
7507,2005,6,30,1502144.59,50071.49
8402,2005,1,31,1549477.85,49983.16
1107,2004,12,30,1498963.90,49965.46
4907,2004,12,30,1497085.74,49902.86
9304,2005,3,30,1495757.02,49858.57
7507,2005,3,30,1493297.49,49776.58
6002,2004,12,30,1492615.34,49753.84
2203,2005,7,31,1539218.62,49652.21
2203,2005,8,27,1337594.79,49540.55
504,2004,9,30,1478531.65,49284.39
2707,2004,8,31,1526547.16,49243.46
9302,2005,5,31,1520419.27,49045.78
9103,2005,6,30,1464495.53,48816.52
3307,2005,7,31,1512555.19,48792.10
504,2005,1,31,1512191.18,48780.36
7907,2005,7,31,1512158.19,48779.30
9103,2004,11,29,1411830.35,48683.81
2203,2004,10,31,1504979.13,48547.71
8402,2004,9,30,1455710.45,48523.68
4307,2005,8,27,1304692.17,48321.93
9204,2004,12,30,1447639.47,48254.65
9302,2005,4,30,1443969.68,48132.32
107,2005,7,31,1484832.24,47897.81
2707,2004,10,31,1484712.49,47893.95
4007,2004,12,30,1436758.14,47891.94
2109,2005,2,28,1337614.07,47771.93
302,2004,12,30,1429686.94,47656.23
1607,2005,1,31,1476449.92,47627.42
1207,2004,12,30,1428125.33,47604.18
3307,2005,5,31,1473841.56,47543.28
2504,2004,12,30,1425386.27,47512.88
9806,2005,7,28,1325383.38,47335.12
2007,2005,4,30,1414790.63,47159.69
2007,2005,2,28,1320298.64,47153.52
3307,2005,4,30,1413401.41,47113.38
2007,2005,3,30,1412203.56,47073.45
1607,2004,9,30,1412198.61,47073.29
107,2005,2,28,1317454.50,47051.95
9806,2005,8,27,1269542.97,47020.11
9304,2005,5,31,1456712.60,46990.73
9304,2005,2,28,1314019.38,46929.26
2203,2005,3,30,1406370.97,46879.03
2607,2004,12,30,1400906.51,46696.88
3307,2005,2,28,1302700.78,46525.03
4307,2005,2,28,1301967.46,46498.84
1602,2005,4,30,1392888.15,46429.60
7907,2005,4,30,1391274.05,46375.80
1602,2005,2,28,1298129.26,46361.76
504,2004,8,31,1432810.22,46219.68
9304,2005,6,30,1385697.46,46189.92
4307,2005,7,31,1429375.55,46108.89
8002,2004,12,30,1382209.00,46073.63
7907,2005,2,28,1287787.53,45992.41
502,2004,12,30,1377484.30,45916.14
2409,2005,2,28,1285314.10,45904.08
7907,2005,5,31,1422466.57,45886.02
107,2005,4,30,1375739.10,45857.97
2102,2005,7,31,1421268.14,45847.36
1007,2004,12,30,1375218.68,45840.62
2402,2004,12,30,1374170.36,45805.68
3802,2004,12,30,1372556.82,45751.89
9103,2005,3,30,1369902.67,45663.42
9302,2005,3,30,1367444.48,45581.48
2007,2004,11,29,1321495.49,45568.81
5704,2004,12,30,1364706.99,45490.23
3009,2004,12,30,1362589.00,45419.63
5103,2004,12,30,1359211.27,45307.04
9806,2004,9,26,1175571.81,45214.30
1602,2005,3,30,1352159.97,45072.00
9302,2005,6,30,1350848.46,45028.28
209,2005,4,30,1349468.15,44982.27
2409,2005,7,31,1393486.59,44951.18
9302,2005,7,31,1391038.39,44872.21
1807,2004,12,30,1345852.58,44861.75
3307,2005,6,30,1345583.86,44852.80
2307,2004,12,30,1343000.68,44766.69
9103,2004,8,31,1385203.66,44683.99
2409,2005,8,27,1205968.14,44665.49
107,2005,5,31,1381698.68,44570.93
9806,2004,10,27,1201846.14,44512.82
9103,2004,10,31,1379285.59,44493.08
5102,2004,12,30,1332896.64,44429.89
2007,2005,6,30,1332781.55,44426.05
209,2005,2,28,1243841.85,44422.92
2007,2005,5,31,1376557.47,44405.08
909,2004,12,30,1331800.75,44393.36
2707,2005,1,31,1373420.61,44303.89
2203,2005,5,31,1373370.58,44302.28
2203,2005,6,30,1325493.29,44183.11
1502,2004,12,30,1325279.01,44175.97
2707,2004,9,30,1324019.74,44133.99
2203,2004,11,29,1277338.09,44046.14
103,2004,12,30,1320965.94,44032.20
8402,2004,8,31,1360633.48,43891.40
4303,2004,12,30,1314750.06,43825.00
8404,2005,8,27,1181155.89,43746.51
7907,2005,6,30,1312364.87,43745.50
1607,2004,8,31,1354618.00,43697.35
2409,2005,4,30,1310682.44,43689.41
3407,2004,12,30,1309516.06,43650.54
9806,2004,11,28,1221131.91,43611.85
3807,2005,8,27,1173612.60,43467.13
7603,2005,2,28,1214085.44,43360.19
2804,2004,12,30,1298602.11,43286.74
9304,2004,11,29,1253515.34,43224.67
2409,2005,6,30,1295728.94,43190.96
9302,2005,2,28,1207900.11,43139.29
209,2005,3,30,1291250.76,43041.69
7907,2004,11,29,1247940.39,43032.43
107,2005,6,30,1289637.17,42987.91
3807,2005,2,28,1202567.03,42948.82
9302,2004,11,29,1243192.15,42868.69
8404,2005,7,31,1324817.96,42736.06
2907,2005,7,31,1322614.86,42665.00
7603,2005,8,27,1151652.02,42653.78
1509,2005,4,30,1279052.90,42635.10
4807,2004,12,30,1278405.85,42613.53
9304,2004,10,31,1318053.06,42517.84
1407,2005,8,27,1146176.54,42450.98
709,2005,4,30,1270339.87,42344.66
2109,2005,8,27,1143213.82,42341.25
2907,2005,8,27,1142667.40,42321.01
6604,2004,12,30,1269593.13,42319.77
2007,2004,10,31,1311647.34,42311.20
102,2005,4,30,1269005.63,42300.19
107,2004,10,31,1306127.63,42133.15
3307,2005,3,30,1263475.32,42115.84
1509,2005,3,30,1259374.40,41979.15
8302,2004,12,30,1258466.61,41948.89
2203,2004,9,30,1258134.00,41937.80
2502,2004,12,30,1257764.18,41925.47
2203,2005,4,30,1255538.07,41851.27
3003,2005,2,28,1171664.69,41845.17
4307,2005,4,30,1255180.57,41839.35
102,2005,7,31,1295258.11,41782.52
2409,2004,11,29,1211492.48,41775.60
9103,2005,1,31,1294840.81,41769.06
107,2005,3,30,1252583.50,41752.78
1509,2005,8,27,1126340.18,41716.30
2109,2005,4,30,1250672.03,41689.07
107,2004,11,29,1208842.20,41684.21
9302,2005,8,27,1123342.04,41605.26
2102,2005,8,27,1119070.41,41447.05
4607,2004,12,30,1243099.12,41436.64
1509,2005,7,31,1284493.82,41435.28
3007,2004,12,30,1242222.18,41407.41
7507,2004,11,29,1200811.49,41407.29
209,2004,11,29,1200254.39,41388.08
2109,2005,7,31,1282452.15,41369.42
7502,2004,12,30,1240071.64,41335.72
3002,2005,3,16,660849.77,41303.11
2007,2004,8,31,1279062.68,41260.09
1509,2005,2,28,1154197.35,41221.33
6503,2005,8,27,1112835.30,41216.12
2207,2004,12,30,1236410.44,41213.68
1602,2005,1,31,1277071.80,41195.86
1709,2005,4,30,1233935.30,41131.18
4109,2004,12,30,1232611.25,41087.04
2203,2005,1,31,1273243.83,41072.38
2602,2004,12,30,1232022.28,41067.41
3103,2004,12,30,1231378.35,41045.94
209,2005,5,31,1271219.12,41007.07
1709,2005,7,31,1271204.86,41006.61
2203,2004,8,31,1271158.23,41005.10
1403,2005,8,27,1106060.18,40965.19
3102,2004,12,30,1227664.82,40922.16
8607,2004,12,30,1227647.29,40921.58
2409,2005,3,30,1227339.04,40911.30
7507,2005,1,31,1267627.46,40891.21
2409,2005,5,31,1267609.47,40890.63
203,2004,12,30,1224353.47,40811.78
7907,2005,3,30,1223680.70,40789.36
9302,2004,10,31,1261847.36,40704.75
1403,2005,2,28,1138653.95,40666.21
7507,2004,9,30,1219803.53,40660.12
7507,2004,10,31,1260298.73,40654.80
2303,2004,12,30,1216700.20,40556.67
3502,2005,7,31,1257003.41,40548.50
4202,2005,7,28,1135326.80,40547.39
4302,2004,12,30,1214146.02,40471.53
7107,2005,8,27,1092304.26,40455.71
7507,2004,8,31,1251637.30,40375.40
2007,2004,9,30,1210853.02,40361.77
1509,2004,11,29,1170093.97,40348.07
9504,2004,12,30,1209220.66,40307.36
4902,2004,12,30,1208631.52,40287.72
7907,2004,10,31,1246586.01,40212.45
1509,2005,5,31,1245668.09,40182.84
3304,2004,12,30,1204148.55,40138.28
1407,2005,7,31,1243935.59,40126.95
1709,2005,3,30,1202960.38,40098.68
3807,2005,7,31,1242361.45,40076.18
6402,2005,3,11,440299.23,40027.20
6503,2005,7,31,1240133.72,40004.31
7007,2005,8,27,1075451.03,39831.52
1709,2005,2,28,1114901.72,39817.92
3507,2004,12,30,1192137.15,39737.90
6102,2004,12,30,1192113.38,39737.11
6009,2005,2,28,1111578.17,39699.22
102,2005,2,28,1111511.50,39696.84
407,2005,8,27,1071797.95,39696.22
6503,2005,6,30,1190834.52,39694.48
709,2005,3,30,1190130.67,39671.02
1709,2005,5,31,1229730.77,39668.73
3307,2004,11,29,1149554.73,39639.82
6503,2005,2,28,1108060.63,39573.59
707,2004,12,30,1186892.58,39563.09
9806,2004,8,27,1067661.33,39543.01
5602,2004,12,30,1185849.07,39528.30
102,2005,5,31,1224890.88,39512.61
3003,2005,8,27,1065884.96,39477.22
9103,2004,9,30,1183525.98,39450.87
1904,2005,2,28,1104435.40,39444.12
9806,2005,1,27,1064956.88,39442.85
8404,2005,4,30,1182768.00,39425.60
7107,2005,7,31,1218887.63,39318.96
8703,2005,8,27,1061352.43,39309.35
1709,2005,8,27,1059730.42,39249.27
9304,2004,9,30,1174935.54,39164.52
7907,2004,8,31,1212246.69,39104.73
1407,2005,2,28,1094510.32,39089.65
3307,2004,10,31,1209197.81,39006.38
8404,2005,3,30,1169782.63,38992.75
107,2005,1,31,1206687.94,38925.42
2409,2004,9,30,1166392.32,38879.74
1709,2004,11,29,1126716.79,38852.30
9304,2005,1,31,1200558.81,38727.70
102,2005,8,27,1044954.50,38702.02
4307,2004,10,31,1199441.54,38691.66
7303,2004,12,30,1159326.14,38644.20
209,2005,7,31,1196943.72,38611.09
8404,2005,5,31,1196759.54,38605.15
8404,2005,6,30,1155890.05,38529.67
709,2005,5,31,1194376.58,38528.28
209,2005,8,27,1039826.74,38512.10
509,2004,12,30,1154348.01,38478.27
9304,2004,8,31,1191352.14,38430.71
2109,2005,1,31,1190869.45,38415.14
6503,2005,4,30,1149922.78,38330.76
8109,2005,7,31,1187041.25,38291.65
709,2005,7,31,1186164.74,38263.38
2102,2005,4,30,1147380.76,38246.03
1304,2004,12,30,1147101.79,38236.73
2007,2005,1,31,1184530.93,38210.68
4802,2004,12,30,1144884.39,38162.81
2109,2005,5,31,1182958.51,38159.95
9806,2005,2,27,1029923.69,38145.32
4407,2004,12,30,1143449.19,38114.97
2409,2004,10,31,1181264.94,38105.32
6009,2005,8,27,1026859.97,38031.85
9302,2004,9,30,1140099.73,38003.32
3502,2005,4,30,1139771.11,37992.37
709,2005,8,27,1025745.05,37990.56
7107,2005,4,30,1139181.30,37972.71
3003,2005,7,31,1174830.41,37897.76
1202,2004,12,30,1136152.44,37871.75
4307,2005,6,30,1134823.29,37827.44
8202,2004,12,30,1133432.49,37781.08
7007,2005,7,31,1170428.32,37755.75
5004,2004,12,30,1132199.79,37739.99
107,2004,9,30,1132024.09,37734.14
1904,2005,3,30,1131950.37,37731.68
4102,2005,3,30,1131109.73,37703.66
107,2004,8,31,1168667.83,37698.96
4307,2005,5,31,1168212.45,37684.27
7407,2005,8,27,1017370.97,37680.41
8404,2004,10,31,1166708.77,37635.77
2907,2005,2,28,1053157.37,37612.76
4307,2005,1,31,1165729.54,37604.18
4102,2005,2,28,1052530.52,37590.38
4202,2004,11,29,1089886.94,37582.31
102,2005,3,30,1126461.62,37548.72
2102,2005,2,28,1049941.85,37497.92
4202,2005,2,28,1049579.75,37484.99
209,2005,1,31,1162002.76,37483.96
4307,2005,3,30,1124004.30,37466.81
8404,2005,2,28,1048649.10,37451.75
5103,2005,8,27,1010979.93,37443.70
407,2005,7,31,1158573.93,37373.35
8109,2005,8,27,1009022.54,37371.21
3204,2005,3,30,1120854.48,37361.82
3302,2005,2,28,1044908.35,37318.16
9302,2005,1,31,1156759.04,37314.81
3307,2005,1,31,1156717.87,37313.48
7004,2004,12,30,1118539.80,37284.66
8403,2004,12,30,1117749.15,37258.30
1403,2005,7,31,1154257.47,37234.11
7907,2004,9,30,1116967.34,37232.24
3302,2004,11,29,1079645.33,37229.15
1407,2005,4,30,1116719.25,37223.98
709,2005,2,28,1042021.62,37215.06
2104,2004,12,30,1112768.60,37092.29
2204,2004,12,30,1110364.57,37012.15
802,2005,4,30,1109637.07,36987.90
2804,2005,8,27,998442.36,36979.35
3704,2004,12,30,1108987.77,36966.26
103,2005,2,28,1031993.14,36856.90
802,2005,7,31,1142090.82,36841.64
1407,2005,5,31,1139444.02,36756.26
1403,2004,10,31,1138602.28,36729.11
8702,2004,12,30,1099951.54,36665.05
507,2004,12,30,1099279.03,36642.63
7107,2005,5,31,1135584.59,36631.76
407,2005,2,28,1025176.14,36613.43
1602,2004,11,29,1061709.98,36610.69
7107,2005,2,28,1024089.25,36574.62
4102,2004,10,31,1132652.17,36537.17
4202,2005,4,30,1096025.34,36534.18
102,2005,6,30,1092273.12,36409.10
102,2004,11,29,1055290.98,36389.34
2109,2005,6,30,1091268.99,36375.63
2102,2004,11,29,1054822.17,36373.18
3204,2005,2,28,1017029.90,36322.50
2109,2004,9,30,1089605.87,36320.20
9503,2004,12,30,1089382.70,36312.76
2504,2005,8,27,979026.64,36260.25
7007,2005,5,31,1123920.15,36255.49
2409,2005,1,31,1123860.58,36253.57
4202,2005,5,31,1123774.38,36250.79
5203,2004,12,30,1087397.13,36246.57
3502,2005,1,31,1123112.38,36229.43
5302,2005,4,30,1086777.39,36225.91
4307,2004,8,31,1122473.54,36208.82
6503,2004,10,31,1122154.85,36198.54
402,2005,7,31,1121763.24,36185.91
4307,2004,11,29,1047985.95,36137.45
8109,2005,2,28,1011609.03,36128.89
2109,2004,10,31,1118818.87,36090.93
7007,2005,4,30,1082307.12,36076.90
3807,2005,4,30,1082252.91,36075.10
5302,2005,7,31,1116458.35,36014.79
4102,2005,5,31,1115757.99,35992.19
4202,2005,3,30,1077188.43,35906.28
1403,2005,3,30,1076389.53,35879.65
8404,2004,11,29,1040301.42,35872.46
3502,2005,2,27,968462.89,35869.00
6503,2005,5,31,1111411.28,35851.98
4102,2005,4,30,1073964.23,35798.81
209,2005,6,30,1072090.58,35736.35
3807,2005,3,30,1071981.47,35732.72
3502,2004,11,29,1036030.48,35725.19
4307,2004,9,30,1070223.06,35674.10
1407,2005,6,30,1069408.92,35646.96
1904,2005,7,31,1104893.77,35641.73
7107,2005,6,30,1066261.64,35542.05
1009,2004,12,30,1065633.80,35521.13
809,2005,4,30,1064781.32,35492.71
304,2005,8,27,957588.81,35466.25
7102,2004,12,30,1061655.85,35388.53
7707,2005,8,27,954484.95,35351.29
2102,2005,5,31,1095673.61,35344.31
2102,2005,3,30,1059692.13,35323.07
3502,2005,8,27,953504.66,35314.99
1509,2005,6,30,1058080.76,35269.36
7407,2005,2,28,986488.74,35231.74
1904,2005,8,27,949953.82,35183.47
7907,2005,1,31,1090252.38,35169.43
7307,2004,12,30,1054897.49,35163.25
3307,2004,9,30,1054234.94,35141.16
1104,2005,3,30,1052863.29,35095.44
6703,2004,12,30,1051756.44,35058.55
8602,2005,2,27,945777.46,35028.79
2102,2005,1,31,1085112.87,35003.64
4309,2004,12,30,1049677.00,34989.23
409,2005,4,30,1049522.33,34984.08
4907,2005,8,27,942853.92,34920.52
5302,2005,5,31,1082088.99,34906.10
604,2004,12,30,1045198.21,34839.94
4202,2005,8,27,940349.60,34827.76
802,2005,2,28,975139.40,34826.41
304,2005,4,30,1044618.23,34820.61
3307,2004,8,31,1079191.59,34812.63
709,2004,11,29,1009496.25,34810.22
6404,2004,12,30,1044178.10,34805.94
3302,2005,1,31,1078796.96,34799.90
102,2005,1,31,1078214.57,34781.12
209,2004,10,31,1077703.14,34764.62
4102,2004,11,29,1007002.17,34724.21
402,2005,4,30,1040898.84,34696.63
4409,2005,8,27,936504.43,34685.35
8102,2005,5,31,1074316.39,34655.37
3807,2005,5,31,1074300.57,34654.86
407,2005,5,31,1073839.99,34640.00
3504,2004,12,30,1038306.93,34610.23
3807,2005,6,30,1037880.70,34596.02
103,2005,8,27,933138.58,34560.69
7407,2005,7,31,1071134.02,34552.71
6009,2005,7,31,1068936.23,34481.81
4209,2005,8,27,931003.09,34481.60
3302,2005,7,31,1068606.13,34471.17
8709,2004,12,30,1034066.97,34468.90
8109,2005,4,30,1033878.28,34462.61
2109,2005,3,30,1033622.93,34454.10
3502,2005,5,31,1066730.55,34410.66
1709,2005,6,30,1031010.96,34367.03
2907,2005,3,30,1030404.24,34346.81
209,2004,9,30,1029878.22,34329.27
5503,2005,2,28,958819.59,34243.56
7602,2004,12,30,1027236.76,34241.23
5503,2004,12,30,1025831.03,34194.37
2504,2005,3,30,1025275.72,34175.86
2109,2004,11,29,990763.10,34164.24
407,2005,6,30,1024579.60,34152.65
709,2005,6,30,1024344.93,34144.83
1407,2005,3,30,1023918.14,34130.60
3407,2005,2,28,955072.45,34109.73
3502,2005,6,30,1023132.90,34104.43
7402,2004,12,30,1022794.29,34093.14
1509,2004,10,31,1056327.17,34075.07
304,2004,10,31,1055848.44,34059.63
2102,2004,10,31,1055827.55,34058.95
4202,2004,10,31,1055768.53,34057.05
6503,2004,11,29,987314.53,34045.33
1509,2005,1,31,1055190.33,34038.40
809,2005,5,31,1055025.26,34033.07
4102,2005,7,30,1020929.48,34030.98
4007,2005,7,31,1054632.98,34020.42
7007,2005,6,30,1020048.15,34001.60
3109,2004,12,30,1019286.84,33976.23
7007,2005,3,30,1019261.33,33975.38
3302,2004,10,31,1052906.67,33964.73
8503,2004,12,30,1018347.25,33944.91
1602,2005,7,31,1051685.28,33925.33
3409,2004,12,30,1017402.33,33913.41
407,2005,4,30,1015805.22,33860.17
8109,2005,5,31,1049555.53,33856.63
6503,2005,3,30,1015224.21,33840.81
6002,2005,7,31,1048629.34,33826.75
3002,2005,7,31,1047995.94,33806.32
7703,2004,12,30,1014061.69,33802.06
4207,2004,12,30,1013909.82,33796.99
304,2005,3,30,1012967.70,33765.59
8102,2005,4,30,1011379.38,33712.65
1403,2005,6,30,1011281.92,33709.40
4209,2005,5,31,1044716.70,33700.54
5302,2005,2,28,942327.66,33654.56
3502,2005,3,30,1009612.75,33653.76
2804,2005,3,30,1008515.65,33617.19
809,2005,7,31,1040854.29,33575.94
7407,2005,5,31,1040805.51,33574.37
7707,2005,7,31,1040697.35,33570.88
8109,2004,10,31,1040382.93,33560.74
704,2005,3,30,1006588.90,33552.96
4102,2005,8,27,905927.23,33552.86
8102,2005,3,30,1005344.26,33511.48
2009,2004,12,30,1005131.98,33504.40
7107,2005,3,29,971511.38,33500.39
409,2005,5,31,1038243.97,33491.74
6503,2004,8,31,1038086.77,33486.67
4007,2005,2,28,937025.74,33465.20
2102,2005,6,30,1002793.27,33426.44
4202,2005,6,30,1002384.50,33412.82
2609,2005,7,31,1035657.50,33408.31
1602,2005,5,31,1035347.01,33398.29
1104,2005,7,31,1034985.11,33386.62
4209,2005,4,30,1001311.72,33377.06
5302,2005,6,30,1001116.04,33370.53
1709,2005,1,31,1034470.96,33370.03
2609,2005,2,28,934303.07,33367.97
7603,2005,7,31,1034369.04,33366.74
6009,2005,5,31,1033728.47,33346.08
2409,2004,8,31,1033077.27,33325.07
6109,2004,12,30,999575.49,33319.18
4409,2005,5,31,1032808.15,33316.39
3407,2005,8,27,899341.26,33308.94
6203,2004,12,30,998790.92,33293.03
6402,2005,7,31,1031947.06,33288.61
3002,2005,4,30,998065.67,33268.86
4102,2005,6,30,997754.49,33258.48
1407,2004,11,29,964448.38,33256.84
5103,2005,4,30,997221.41,33240.71
2609,2005,6,30,996752.26,33225.08
304,2005,6,30,996255.41,33208.51
409,2005,3,30,995755.15,33191.84
1407,2004,10,31,1028878.20,33189.62
4409,2005,7,31,1027057.20,33130.88
2109,2004,8,31,1026906.32,33126.01
4907,2005,2,28,927412.14,33121.86
1709,2004,10,31,1026174.44,33102.40
8109,2005,6,30,993065.72,33102.19
4007,2005,8,27,891746.35,33027.64
5402,2004,12,30,990745.39,33024.85
3604,2004,12,30,990328.13,33010.94
1602,2005,8,27,890714.25,32989.42
7702,2004,12,30,989456.63,32981.89
3707,2004,12,30,988396.00,32946.53
5302,2005,8,27,889114.16,32930.15
6403,2004,12,30,987739.83,32924.66
3204,2005,8,27,888069.25,32891.45
2907,2004,8,31,1019283.93,32880.13
1904,2005,5,31,1018465.12,32853.71
7407,2005,4,30,985560.74,32852.02
7707,2005,2,28,916873.42,32745.48
8404,2004,9,30,981800.45,32726.68
709,2004,10,31,1014109.72,32713.22
1104,2005,8,27,883249.19,32712.93
304,2005,2,28,915566.45,32698.80
8102,2004,11,29,947824.54,32683.60
102,2004,10,31,1012878.33,32673.49
4202,2005,1,31,1012721.56,32668.44
8102,2005,7,31,1012361.96,32656.84
3003,2004,11,29,946843.66,32649.78
4109,2005,2,28,914165.14,32648.76
2609,2005,8,27,881215.38,32637.61
5503,2005,8,27,881115.14,32633.89
1004,2004,12,30,978948.89,32631.63
3204,2005,4,30,978755.81,32625.19
407,2005,3,30,978447.21,32614.91
1203,2004,12,30,977302.28,32576.74
3003,2005,6,30,975734.55,32524.48
5202,2004,12,30,975194.69,32506.49
802,2005,8,27,876897.26,32477.68
3902,2004,12,30,974003.96,32466.80
1403,2005,4,30,973726.06,32457.54
4409,2005,4,30,972996.57,32433.22
304,2005,7,31,1005244.62,32427.25
7107,2004,11,29,940311.88,32424.55
3209,2004,12,30,972703.18,32423.44
8204,2005,8,27,875140.19,32412.60
6604,2005,8,27,873150.94,32338.92
809,2005,3,30,970074.55,32335.82
2907,2005,4,30,969833.07,32327.77
1403,2005,5,31,1002032.19,32323.62
3003,2005,5,31,1001857.15,32317.97
8404,2004,8,31,1001793.49,32315.92
402,2005,2,28,904472.11,32302.58
5302,2004,11,29,935853.95,32270.83
1107,2005,8,27,870972.09,32258.23
1509,2004,9,30,967558.00,32251.93
6503,2004,9,30,967537.87,32251.26
7603,2004,8,31,999027.43,32226.69
6009,2005,6,30,966449.19,32214.97
1709,2004,9,30,966163.98,32205.47
6009,2004,11,29,933924.38,32204.29
4109,2005,8,27,869140.23,32190.38
2607,2005,7,31,997591.52,32180.37
4907,2005,4,30,965110.31,32170.34
1403,2004,11,29,932434.92,32152.93
3003,2004,10,31,996419.19,32142.55
2307,2005,8,27,867544.09,32131.26
402,2005,5,31,995250.19,32104.84
8007,2004,12,30,962059.95,32068.66
6703,2005,8,27,865616.82,32059.88
3204,2005,5,31,993301.21,32041.97
1107,2005,7,31,992696.97,32022.48
1104,2005,4,30,960472.03,32015.73
5302,2005,1,31,992254.12,32008.20
8102,2005,2,28,895577.13,31984.90
3302,2005,8,27,863231.67,31971.54
2402,2005,7,31,991026.27,31968.59
3003,2005,3,30,957828.74,31927.62
304,2005,5,31,989674.29,31924.98
4907,2005,5,31,989483.10,31918.81
4209,2005,2,28,893440.35,31908.58
409,2005,2,28,893347.09,31905.25
